model_name,anthropic/claude-haiku-4.5,cohere/command-r-08-2024,deepseek/deepseek-chat-v3.1,deepseek/deepseek-r1-0528,google/gemini-2.5-flash,google/gemini-2.5-pro,google/gemma-3-12b-it,google/gemma-3-27b-it,google/gemma-3-4b-it,google/gemma-3n-e4b-it,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick,mistralai/ministral-8b,mistralai/mistral-medium-3.1,moonshotai/kimi-k2-0905,moonshotai/kimi-k2-thinking,openai/gpt-4.1-mini,openai/gpt-5-mini,openai/gpt-oss-120b,openai/gpt-oss-20b,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-7b-instruct,qwen/qwen3-14b,qwen/qwen3-32b,qwen/qwen3-max,x-ai/grok-3-mini,x-ai/grok-4-fast,z-ai/glm-4.6
openai/gpt-5-mini,66.66666666666666,41.41414141414141,60.60606060606061,60.60606060606061,68.68686868686868,62.62626262626263,55.55555555555556,46.464646464646464,33.68421052631579,50.505050505050505,41.41414141414141,49.494949494949495,62.62626262626263,35.35353535353536,59.79381443298969,58.58585858585859,70.32967032967034,68.68686868686868,0.0,65.65656565656566,46.15384615384615,58.58585858585859,36.36363636363637,39.361702127659576,47.95918367346938,67.67676767676768,70.70707070707071,70.70707070707071,62.62626262626263
openai/gpt-oss-120b,56.56565656565656,40.4040404040404,55.55555555555556,57.57575757575758,66.66666666666666,56.56565656565656,55.55555555555556,48.484848484848484,40.0,47.474747474747474,35.35353535353536,45.45454545454545,60.60606060606061,35.35353535353536,47.42268041237113,53.535353535353536,62.637362637362635,62.62626262626263,65.65656565656566,0.0,54.94505494505495,59.59595959595959,41.41414141414141,43.61702127659575,48.97959183673469,63.63636363636363,63.63636363636363,58.58585858585859,57.57575757575758
openai/gpt-oss-20b,39.56043956043956,43.258426966292134,41.57303370786517,45.05494505494506,40.44943820224719,41.75824175824176,46.62921348314607,43.82022471910113,42.44186046511628,46.62921348314607,35.95505617977528,47.19101123595505,42.69662921348314,42.13483146067416,45.45454545454545,42.13483146067416,41.66666666666667,38.46153846153847,46.15384615384615,54.94505494505495,0.0,50.0,39.8876404494382,46.74556213017752,45.45454545454545,43.956043956043956,49.43820224719101,44.38202247191011,46.06741573033708
qwen/qwen-2.5-72b-instruct,52.52525252525253,41.20603015075377,57.286432160804026,55.55555555555556,51.75879396984925,51.515151515151516,47.23618090452261,50.25125628140703,46.35416666666667,44.221105527638194,40.20100502512563,53.266331658291456,54.773869346733676,41.20603015075377,55.32994923857868,53.768844221105525,52.74725274725275,57.57575757575758,58.58585858585859,59.59595959595959,50.0,0.0,42.211055276381906,46.524064171122994,52.55102040816326,58.58585858585859,56.78391959798995,51.75879396984925,53.768844221105525
qwen/qwen-2.5-7b-instruct,39.39393939393939,31.155778894472363,44.221105527638194,43.43434343434344,43.71859296482412,39.39393939393939,35.175879396984925,33.66834170854271,37.5,40.7035175879397,42.211055276381906,36.18090452261307,37.68844221105528,39.698492462311556,41.62436548223351,42.211055276381906,29.67032967032967,47.474747474747474,36.36363636363637,41.41414141414141,39.8876404494382,42.211055276381906,0.0,36.36363636363637,39.285714285714285,39.39393939393939,40.7035175879397,39.19597989949749,42.211055276381906
qwen/qwen3-14b,38.297872340425535,35.82887700534759,44.919786096256686,43.61702127659575,40.64171122994652,36.17021276595745,36.36363636363637,39.037433155080215,37.569060773480665,35.294117647058826,34.75935828877005,37.967914438502675,47.593582887700535,34.22459893048128,43.78378378378379,45.98930481283423,40.69767441860465,38.297872340425535,39.361702127659576,43.61702127659575,46.74556213017752,46.524064171122994,36.36363636363637,0.0,50.810810810810814,40.42553191489361,43.85026737967914,44.919786096256686,41.711229946524064
qwen/qwen3-32b,53.06122448979592,41.83673469387755,53.57142857142857,56.12244897959183,51.53061224489795,42.857142857142854,50.51020408163265,50.51020408163265,46.03174603174603,44.38775510204081,38.775510204081634,47.44897959183674,52.55102040816326,37.244897959183675,55.154639175257735,56.63265306122449,48.888888888888886,59.183673469387756,47.95918367346938,48.97959183673469,45.45454545454545,52.55102040816326,39.285714285714285,50.810810810810814,0.0,50.0,54.08163265306123,50.51020408163265,52.04081632653062
qwen/qwen3-max,62.62626262626263,44.44444444444444,60.60606060606061,57.57575757575758,71.71717171717171,69.6969696969697,49.494949494949495,57.57575757575758,43.15789473684211,50.505050505050505,40.4040404040404,60.60606060606061,64.64646464646465,35.35353535353536,54.63917525773196,58.58585858585859,65.93406593406593,65.65656565656566,67.67676767676768,63.63636363636363,43.956043956043956,58.58585858585859,39.39393939393939,40.42553191489361,50.0,0.0,64.64646464646465,69.6969696969697,66.66666666666666
x-ai/grok-3-mini,59.59595959595959,50.25125628140703,66.83417085427136,66.66666666666666,65.82914572864321,65.65656565656566,57.286432160804026,56.28140703517588,47.91666666666667,52.76381909547738,45.7286432160804,64.82412060301507,67.33668341708542,49.74874371859296,60.40609137055838,62.311557788944725,62.637362637362635,73.73737373737373,70.70707070707071,63.63636363636363,49.43820224719101,56.78391959798995,40.7035175879397,43.85026737967914,54.08163265306123,64.64646464646465,0.0,66.83417085427136,60.80402010050251
x-ai/grok-4-fast,61.61616161616161,44.72361809045226,65.82914572864321,62.62626262626263,68.84422110552764,68.68686868686868,50.25125628140703,58.291457286432156,43.75,48.24120603015075,40.7035175879397,55.778894472361806,66.33165829145729,41.20603015075377,62.944162436548226,64.321608040201,71.42857142857143,63.63636363636363,70.70707070707071,58.58585858585859,44.38202247191011,51.75879396984925,39.19597989949749,44.919786096256686,50.51020408163265,69.6969696969697,66.83417085427136,0.0,59.2964824120603
